amino,atom,cluster,dist,angle,dihed,prob
ALA,CB,N0,1.08275862068966,79.5868965517241,72.2613793103448,1
ALA,CB,N1,0.830735216473101,65.7411087645198,96.4584292502641,1
ALA,CB,N2,1.09908767357196,87.2206106275914,98.4392516804931,0.157668816773526
ALA,CB,N2,0.894969834713687,70.438586619417,94.7099321709652,0.307164123592799
ALA,CB,N2,1.19983356696926,92.7610716248937,105.418928495519,0.535167059633672
ALA,CB,N3,1.16892939603838,90.8198614655486,102.241116782112,1
ALA,C,N0,2.24450065531177,146.036460204479,170.683117180488,0.627967447277427
ALA,C,N0,2.25125423446022,146.118292942775,-173.088155945358,0.170111130412838
ALA,C,N0,2.16069108378121,133.072964118271,45.1787702956345,0.201921422309734
ALA,C,N1,2.25520876556018,146.695695020747,146.917828060166,1
ALA,C,N2,2.24842159399447,146.188541411377,158.987120388634,0.25815554320407
ALA,C,N2,2.19241773641727,142.554610649599,-162.791126696499,0.74184445679593
ALA,C,N3,2.20571922297695,143.169309974973,-150.113264211655,1
ALA,H,N1,2.6393282011229,132.95126159679,24.8689892605996,0.132810162595412
ALA,H,N1,2.78239284744963,150.820721589841,31.7351246671572,0.135733025156097
ALA,H,N1,2.39891031073741,126.980662149164,37.373487105852,0.347736903793175
ALA,H,N1,2.6678570252569,142.73942439284,41.7239753472601,0.383719908455316
ALA,H,N2,2.65721815097259,133.035075583569,30.9947886715508,0.124110574817468
ALA,H,N2,2.36921731856544,125.762526738523,32.1040021541557,0.240156438304323
ALA,H,N2,2.57920006145503,136.802408695315,43.2928658106726,0.635732986878208
ALA,H,N3,2.68691624383046,133.911299136835,29.709719478277,0.162162209167474
ALA,H,N3,2.56586126932071,135.910305147918,41.6190359363031,0.837837790832527
ALA,N,N0,2.12174103621703,142.64370320289,6.89193048075831,0.829598191071056
ALA,N,N0,1.92930543886603,129.244223097602,-6.69684667014522,0.170401808928944
ALA,N,N1,2.10135892116184,141.57155990664,13.4036942427386,1
